scope,chapterId,sequence,activityId,origin,sourceIds,type,conceptKey,prompt,answer,options,notes,dataHash
"built-lesson","ch10","1","ch10-identify-1","generated/fallback","","quiz","shape-3d-identify","Which option is prism?","prism","[""cuboid"",""cylinder"",""ball"",""prism""]","","64fd927d"
"built-lesson","ch10","2","ch10-identify-2","generated/fallback","","quiz","shape-3d-identify","Which option is cuboid?","cuboid","[""cylinder"",""ball"",""cuboid"",""cube""]","","6349ab17"
"built-lesson","ch10","3","ch10-footprint-1","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from cube?","square","[""square"",""triangle"",""circle"",""rectangle""]","","a59ff56d"
"built-lesson","ch10","4","ch10-footprint-2","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from cuboid?","rectangle","[""rectangle"",""square"",""triangle"",""circle""]","","ab756862"
"built-lesson","ch10","5","ch10-mixed-identify-1","generated/fallback","","quiz","shape-3d-identify","Which option is cuboid?","cuboid","[""cuboid"",""prism"",""cylinder"",""cube""]","","00cdabbf"
"built-lesson","ch10","6","ch10-mixed-footprint-2","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from cylinder?","circle","[""circle"",""square"",""rectangle"",""triangle""]","","22459fe4"
"built-lesson","ch10","7","ch10-mixed-identify-3","generated/fallback","","quiz","shape-3d-identify","Which option is cube?","cube","[""ball"",""prism"",""cuboid"",""cube""]","","2aab27f6"
"built-lesson","ch10","8","ch10-mixed-footprint-4","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from prism?","triangle","[""triangle"",""circle"",""rectangle"",""square""]","","2e24b6ab"
"built-lesson","ch11","1","ch11-s5-q1","source/adapted","ch11-s5-q1","interactive","compare-area","Which shape has the smaller area?","D","[{""label"":""D"",""count"":2,""color"":""blue""},{""label"":""A"",""count"":4,""color"":""blue""}]","context=area","186f7a55"
"built-lesson","ch11","2","ch11-s5-q1-pair2","source/adapted","ch11-s5-q1-pair2","interactive","compare-area","Which shape has the smaller area?","A","[{""label"":""A"",""count"":4,""color"":""blue""},{""label"":""B"",""count"":6,""color"":""blue""}]","context=area","f11bd8a0"
"built-lesson","ch11","3","ch11-s5-q1-pair3","source/adapted","ch11-s5-q1-pair3","interactive","compare-area","Which shape has the smaller area?","B","[{""label"":""B"",""count"":6,""color"":""blue""},{""label"":""C"",""count"":8,""color"":""blue""}]","context=area","114d52fb"
"built-lesson","ch11","4","ch11-s3-q1","source/adapted","ch11-s3-q1","interactive","compare-capacity","Arrange containers from least to most cups.","order C -> B -> A / [1,2,3]","[""A:3"",""B:2"",""C:1""]","context=teapot","5416fd12"
"built-lesson","ch11","5","ch11-s4-q1","source/adapted","ch11-s4-q1","interactive","compare-capacity","Tap the container that has more water.","7","[""green:5"",""orange:7"",""brown-clay:3""]","context=bucket","b5f1f08a"
"built-lesson","ch11","6","ch11-capacity-3","generated/fallback","","interactive","compare-capacity","How many more cups does one container have?","3","[""c0:3"",""c1:6""]","","52b61c59"
"built-lesson","ch11","7","ch11-s6-q1-pair2","source/adapted","ch11-s6-q1-pair2","interactive","compare-area","Which shape has the larger area?","Shape B","[{""label"":""Shape A"",""count"":8,""color"":""blue""},{""label"":""Shape B"",""count"":20,""color"":""orange""}]","context=area","85f10c05"
"built-lesson","ch11","8","ch11-s6-q1-pair3","source/adapted","ch11-s6-q1-pair3","interactive","compare-area","Which shape has the larger area?","Shape A","[{""label"":""Shape A"",""count"":20,""color"":""blue""},{""label"":""Shape B"",""count"":10,""color"":""orange""}]","context=area","0c932713"
"built-lesson","ch12","1","ch12-learn-1","source/adapted","ch12-s7-q1","interactive","addition-make-10","9 + 3","{""finalAnswer"":12,""blanks"":[1,1,2,1,2,12]}","","","0313ac3d"
"built-lesson","ch12","2","ch12-learn-2","source/adapted","ch12-s7-q1-2","interactive","addition-make-10","5 + 8","{""finalAnswer"":13,""blanks"":[2,2,3,2,3,13]}","","","bd93ff81"
"built-lesson","ch12","3","ch12-learn-3","source/adapted","ch12-a-q1","quiz","addition-make-10","7 + ? = 10","{""finalAnswer"":3,""blanks"":[3]}","","","11bf971c"
